year,base,impact,exploitability,type
2023,7.8,5.9,1.8,SW
2023,8.6,4,3.9,SW
2023,4.8,2.7,1.7,SW
2023,7.5,5.9,1.6,SW
2023,7.2,5.9,1.2,SW
2023,7.5,3.6,3.9,SW
2023,9.8,5.9,3.9,SW
2023,7.4,5.9,1.5,SW
2023,4.3,1.4,2.8,SW
2023,8.8,5.9,2.8,SW
2023,3.3,1.4,1.8,SW
2023,9.8,5.9,3.9,SW
2023,6.5,3.6,2.8,SW
2023,5.3,1.4,3.9,SW
2023,5.3,1.4,3.9,SW
2023,7.3,5.9,1.3,SW
2023,7.3,5.9,1.3,SW
2023,7.8,5.9,1.8,SW
2023,5.4,2.7,2.3,SW
2023,6.5,3.6,2.8,SW
2023,7.3,5.9,1.3,SW
2023,9.1,5.2,3.9,SW
2023,6.1,2.7,2.8,SW
2023,10,6,3.9,SW
2023,4.8,2.7,1.7,SW
2023,7.4,5.2,2.2,SW
2023,7.8,5.9,1.8,SW
2023,6.1,2.7,2.8,SW
2023,6.1,2.7,2.8,SW
2023,6.1,2.7,2.8,SW
2023,6.1,2.7,2.8,SW
2023,6.1,2.7,2.8,SW
2023,6.1,2.7,2.8,SW
2023,6.1,2.7,2.8,SW
2023,6.1,2.7,2.8,SW
2023,6.1,2.7,2.8,SW
2023,6.1,2.7,2.8,SW
2023,6.1,2.7,2.8,SW
2023,6.1,2.7,2.8,SW
2023,6.1,2.7,2.8,SW
2023,6.1,2.7,2.8,SW
2023,6.1,2.7,2.8,SW
2023,7.2,5.9,1.2,SW
2023,7.2,5.9,1.2,SW
2023,7.2,5.9,1.2,SW
2023,7.2,5.9,1.2,SW
2023,4.3,1.4,2.8,SW
2023,6.5,3.6,2.8,SW
2022,5.4,2.7,2.3,SW
2022,7.2,5.9,1.2,SW
2022,7.5,5.9,1.6,SW
2022,4.3,1.4,2.8,SW
2022,7.8,5.9,1.8,SW
2022,7.8,5.9,1.8,SW
2022,9.8,5.9,3.9,SW
2022,6,5.2,0.8,SW
2022,9.8,5.9,3.9,SW
2022,5.3,3.6,1.6,SW
2022,7.2,5.9,1.2,SW
2022,5.3,1.4,3.9,SW
2022,6.5,5.2,1.2,SW
2022,9.8,5.9,3.9,SW
2022,8.8,5.9,2.8,SW
2022,6.4,5.9,0.5,SW
2022,5.4,2.7,2.3,SW
2022,6.5,3.6,2.8,SW
2022,6.8,5.9,0.9,SW
2022,7.2,5.9,1.2,SW
2022,6.5,3.6,2.8,SW
2022,7.5,5.9,1.6,SW
2022,8.8,5.9,2.8,SW
2022,8.8,5.9,2.8,SW
2022,5.5,3.6,1.8,SW
2022,4.8,2.7,1.7,SW
2022,7.5,3.6,3.9,SW
2022,7.5,3.6,3.9,SW
2022,9.8,5.9,3.9,SW
2022,7.8,5.9,1.8,SW
2022,9.8,5.9,3.9,SW
2022,9.8,5.9,3.9,SW
2022,9.8,5.9,3.9,SW
2022,7.8,5.9,1.8,SW
2022,7.5,3.6,3.9,SW
2022,7.2,5.9,1.2,SW
2022,6.1,2.7,2.8,SW
2022,7.5,3.6,3.9,SW
2022,7.5,3.6,3.9,SW
2022,5.5,3.6,1.8,SW
2022,7.8,5.9,1.8,SW
2022,7.5,3.6,3.9,SW
2022,6.1,2.7,2.8,SW
2022,6.8,5.9,0.9,SW
2022,9.8,5.9,3.9,SW
2022,4.9,3.6,1.2,SW
2022,5.4,2.7,2.3,SW
2022,5.4,2.7,2.3,SW
2022,8.8,5.9,2.8,SW
2022,8.8,5.9,2.8,SW
2022,8.6,4,3.9,SW
2022,9.8,5.9,3.9,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,7.2,5.9,1.2,SW
2022,9.8,5.9,3.9,SW
2022,8.1,5.2,2.8,SW
2022,7.4,5.2,2.2,SW
2022,6.8,4,2.2,SW
2022,5.3,1.4,3.9,SW
2022,7.5,3.6,3.9,SW
2022,7.5,3.6,3.9,SW
2022,8.6,4,3.9,SW
2022,6.7,5.9,0.8,SW
2022,6.7,5.9,0.8,SW
2021,7.8,5.9,1.8,SW
2021,7.8,5.9,1.8,SW
2021,8.8,5.9,2.8,SW
2021,5.3,1.4,3.9,SW
2021,6.3,3.7,2,SW
2021,6.3,3.7,2,SW
2021,7.5,5.9,1.6,SW
2021,8.6,4,3.9,SW
2021,9.8,5.9,3.9,SW
2021,9.8,5.9,3.9,SW
2021,7.7,4,3.1,SW
2021,9.8,5.9,3.9,SW
2021,8.8,5.9,2.8,SW
2021,8.8,6,2,SW
2021,7.5,3.6,3.9,SW
2021,9.8,5.9,3.9,SW
2021,9.8,5.9,3.9,SW
2021,4.9,3.6,1.2,SW
2021,8.8,5.9,2.8,SW
2021,4.8,2.7,1.7,SW
2021,9.8,5.9,3.9,SW
2021,8.8,5.9,2.8,SW
2021,9.8,5.9,3.9,SW
2021,7.2,5.9,1.2,SW
2021,7.8,5.9,1.8,SW
2021,7.8,5.9,1.8,SW
2021,7.5,3.6,3.9,SW
2021,4.6,3.6,0.9,SW
2021,7.2,5.9,1.2,SW
2021,7.8,5.9,1.8,SW
2021,6.7,5.9,0.8,SW
2021,6.1,2.7,2.8,SW
2021,6.1,2.7,2.8,SW
2021,9.8,5.9,3.9,SW
2021,9.8,5.9,3.9,SW
2021,8.1,5.2,2.8,SW
2021,9.8,5.9,3.9,SW
2021,6.5,3.7,2.3,SW
2021,7.5,3.6,3.9,SW
2021,6.1,2.7,2.8,SW
2021,6.5,3.6,2.8,SW
2021,6.1,2.7,2.8,SW
2021,7.8,5.9,1.8,SW
2021,7.8,5.9,1.8,SW
2021,3.8,1.4,2,SW
2021,7.3,3.4,3.9,SW
2021,6.7,5.9,0.8,SW
2021,6.5,3.6,2.8,SW
2021,7.8,5.9,1.8,SW
2021,9.8,5.9,3.9,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,7.2,5.9,1.2,SW
2021,5.5,3.6,1.8,SW
2021,7.8,5.9,1.8,SW
